Section,Field,Value
1. Feature Context,Feature,"NFT-collateralized peer-to-peer loans on TON (web dApp)"
1. Feature Context,Description (Goal / Scope),"Borrowers lock NFT, set terms, deploy contract; lenders fund; repayment or NFT seizure handled on-chain."
1. Feature Context,Client,"TON web app (current repo)"
1. Feature Context,Problem,"NFT holders need liquidity; lenders need secured yield and enforcement."
1. Feature Context,Solution,"Per-loan smart contract escrows NFT, tracks terms, automates funding/repay/liquidation; React UI guides both roles."
1. Feature Context,Metrics,"Loan count; funded volume; avg time to funding; repayment rate; default rate; lender APY."
2. User Stories and Use Cases,User Story ID,"US-1"
2. User Stories and Use Cases,Role,"Borrower"
2. User Stories and Use Cases,User Story,"As a borrower, I want to pledge my NFT and set loan terms so that I can receive liquidity without selling it."
2. User Stories and Use Cases,UX / User Flow,"Connect wallet → Select NFT → Enter terms → Deploy contract → Send NFT → (optional) cancel before funding."
Use Case UC-1.1,Given,"Connected wallet with at least one eligible NFT."
Use Case UC-1.1,When,"Borrower selects NFT and submits loan terms."
Use Case UC-1.1,Then,"Loan contract is deployed; address shown."
Use Case UC-1.1,Input,"NFT address, amount, duration, daily interest, jetton/native choice."
Use Case UC-1.1,Output,"Loan contract address; status NOT_INITIALIZED."
Use Case UC-1.1,State,"Contract created; awaiting NFT transfer."
Use Case UC-1.1,FR-1,"Deploy contract with provided LoanParams and borrower address."
Use Case UC-1.1,FR-2,"Validate inputs (positive amount, duration ≥1 day, interest >0)."
Use Case UC-1.1,FR-3,"Return contract address to UI."
Use Case UC-1.1,NFR-1,"TX submission shows feedback within ~5s perceived."
Use Case UC-1.1,NFR-2,"Client-side form validation."
Use Case UC-1.1,NFR-3,"Clear deploy error messages."
Use Case UC-1.2,Given,"Loan contract deployed; borrower holds NFT."
Use Case UC-1.2,When,"Borrower transfers NFT to contract."
Use Case UC-1.2,Then,"Contract holds NFT; status moves to WAITING_FOR_FUNDS."
Use Case UC-1.2,Input,"NFT transfer transaction."
Use Case UC-1.2,Output,"Status WAITING_FOR_FUNDS visible in UI."
Use Case UC-1.2,State,"Collateral locked; waiting lender."
Use Case UC-1.2,FR-4,"Detect and display status after NFT transfer."
Use Case UC-1.2,FR-5,"Allow borrower to cancel before funding."
